"id";"itemID";"filename";"title";"titleAttribute";"hits"
"99";"824";"424_Broad_Street.pdf";"Fact Sheet";"424_Broad_Street.pdf";"606"
"100";"762";"Harbor_Pavilions.pdf";"Fact Sheet";"Harbor_Pavilions.pdf";"457"
"101";"833";"Bellmawr_Shopping_Center.pdf";"Fact Sheet";"Bellmawr_Shopping_Center.pdf";"248"
"102";"831";"Lone_Star_Steakhouse.pdf";"Fact Sheet";"Lone_Star_Steakhouse.pdf";"50"
"429";"752";"2250_Chapel_Avenue.pdf";"Fact Sheet";"2250_Chapel_Avenue.pdf";"148"
"104";"740";"SJ_Professional.pdf";"Fact Sheet";"SJ_Professional.pdf";"45"
"105";"826";"Irish_Pub.pdf";"Fact Sheet";"Irish_Pub.pdf";"682"
"106";"847";"1205_Warren_Ave.pdf";"Fact Sheet";"1205_Warren_Ave.pdf";"82"
"274";"971";"410_Flynn_Ave.pdf";"Fact Sheet";"410_Flynn_Ave.pdf";"337"
"402";"972";"30_Washington_Avenue.pdf";"Fact Sheet";"30_Washington_Avenue.pdf";"249"
"109";"1017";"505_High_Street.pdf";"Fact Sheet";"505_High_Street.pdf";"47"
"110";"973";"Rt_322___Clems_Run.pdf";"Fact Sheet";"Rt_322___Clems_Run.pdf";"434"
"408";"1027";"2720_Black_Horse_Pike_-_Sale.pdf";"Sale Fact Sheet";"2720_Black_Horse_Pike_-_Sale.pdf";"404"
"112";"739";"425_Route_70_West.pdf";"Fact Sheet";"425_Route_70_West.pdf";"476"
"113";"742";"1100_Route_70_East.pdf";"Fact Sheet";"1100_Route_70_East.pdf";"878"
"114";"974";"FloorPlan101Foster.pdf";"Floor Plan";"FloorPlan101Foster.pdf";"788"
"115";"975";"3713_Haddonfield_Road.pdf";"Fact Sheet";"3713_Haddonfield_Road.pdf";"353"
"116";"984";"381_Egg_Harbor_Road.pdf";"Fact Sheet";"381_Egg_Harbor_Road.pdf";"396"
"117";"764";"1307_White_Horse_Road.pdf";"Fact Sheet";"1307_White_Horse_Road.pdf";"100"
"118";"757";"The_Ellipse_Center_1.pdf";"Fact Sheet";"The_Ellipse_Center_1.pdf";"706"
"119";"776";"Pavilions_of_Voorhees.pdf";"Fact Sheet";"Pavilions_of_Voorhees.pdf";"29"
"120";"789";"200_300_White_Horse_Road___lease.pdf";"Fact Sheet";"200_300_White_Horse_Road___lease.pdf";"467"
"121";"987";"Ramblewood_Shopping_Center.pdf";"Fact Sheet";"Ramblewood_Shopping_Center.pdf";"548"
"122";"989";"7072Rt38brochure.pdf";"Fact Sheet";"7072Rt38brochure.pdf";"120"
"294";"992";"1165A_Marlkress_Road.pdf";"Fact Sheet";"1165A_Marlkress_Road.pdf";"290"
"124";"988";"Ramblewood_Shopping_Center___Lease.pdf";"Fact Sheet";"Ramblewood_Shopping_Center___Lease.pdf";"664"
"125";"990";"304_Harper_Drive.pdf";"Fact Sheet";"304_Harper_Drive.pdf";"651"
"126";"991";"116_Delsea_Drive.pdf";"Fact Sheet";"116_Delsea_Drive.pdf";"356"
"389";"993";"132_Haddon_Avenue.pdf";"Fact Sheet";"132_Haddon_Avenue.pdf";"265"
"128";"994";"30_Haddon_Avenue.pdf";"Fact Sheet";"30_Haddon_Avenue.pdf";"304"
"129";"995";"515_Route_73_South.pdf";"Fact Sheet";"515_Route_73_South.pdf";"843"
"130";"998";"1003_Evergreen_Avenue.pdf";"Fact Sheet";"1003_Evergreen_Avenue.pdf";"371"
"131";"996";"3641_Haddonfield_Road.pdf";"Fact Sheet";"3641_Haddonfield_Road.pdf";"319"
"132";"997";"1101_White_Horse_Road.pdf";"Fact Sheet";"1101_White_Horse_Road.pdf";"359"
"345";"999";"Route_73_and_Sunbird_Drive.pdf";"Fact Sheet";"Route_73_and_Sunbird_Drive.pdf";"508"
"134";"1000";"5471_Black_Horse_Pike.pdf";"Fact Sheet";"5471_Black_Horse_Pike.pdf";"376"
"135";"1002";"The_Ellipse_Center.pdf";"Fact Sheet";"The_Ellipse_Center.pdf";"705"
"136";"1016";"Cooper_Rd_and_Kresson_Gibbsboro_Rd.pdf";"Fact Sheet";"Cooper_Rd_and_Kresson_Gibbsboro_Rd.pdf";"644"
"407";"974";"101_Foster_Road_-_10-9-13.pdf";"Fact Sheet";"101_Foster_Road_-_10-9-13.pdf";"234"
"138";"1018";"421_White_Horse_Pike.pdf";"Fact Sheet";"421_White_Horse_Pike.pdf";"256"
"139";"1019";"300_Route_70_West.pdf";"Fact Sheet";"300_Route_70_West.pdf";"77"
"140";"1020";"2323_Church_Road.pdf";"Fact Sheet";"2323_Church_Road.pdf";"311"
"141";"1021";"200_Route_73.pdf";"200_Route_73.pdf";"200_Route_73.pdf";"281"
"142";"1022";"709_Fellowship_Road.pdf";"Fact Sheet";"709_Fellowship_Road.pdf";"268"
"143";"1023";"65_East_Route_70.pdf";"Fact Sheet";"65_East_Route_70.pdf";"180"
"144";"1024";"3163_Marne_Highway.pdf";"Fact Sheet";"3163_Marne_Highway.pdf";"673"
"145";"1025";"200_Larchmont_Blvd.pdf";"Fact Sheet";"200_Larchmont_Blvd.pdf";"654"
"146";"1026";"3900churchrdfloorplan.pdf";"Floor Plan";"3900churchrdfloorplan.pdf";"398"
"147";"1026";"3900_Church_Road.pdf";"Fact Sheet";"3900_Church_Road.pdf";"456"
"296";"1028";"Frontage_Road.pdf";"Fact Sheet";"Frontage_Road.pdf";"490"
"293";"1031";"403_Route_70_East.pdf";"Fact Sheet";"403_Route_70_East.pdf";"561"
"150";"1029";"545_Beckett_Road.pdf";"Fact Sheet";"545_Beckett_Road.pdf";"655"
"438";"1030";"1205_Warren_Avenue.pdf";"Fact Sheet";"1205_Warren_Avenue.pdf";"67"
"152";"1032";"Woodbury_Crossing.pdf";"Fact Sheet";"Woodbury_Crossing.pdf";"6"
"153";"1033";"1950_Old_Cuthbert_Road.pdf";"Fact Sheet";"1950_Old_Cuthbert_Road.pdf";"420"
"154";"1034";"1950_Old_Cuthbert_I__H.pdf";"Fact Sheet";"1950_Old_Cuthbert_I__H.pdf";"378"
"155";"1035";"Plaza_500___Haddon_Heights.pdf";"Fact Sheet";"Plaza_500___Haddon_Heights.pdf";"85"
"156";"1036";"Plaza_Shoppes___Turnersville.pdf";"Fact Sheet";"Plaza_Shoppes___Turnersville.pdf";"248"
