"79";"828";"DEFAULT UNIT";"5000.00";"385000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"11000";"143.00";"7.00";"0.00";;;"0.00";"40 spaces";;"0.00";;;"0";"Block: 143.01, Lot:,7";;;"0.00";"1"
"82";"767";"DEFAULT UNIT";"1517.00";"250000.00";"inclusive";"1500.00";"month";;;"utilities";"0.00";"sqft";;"5825";"470.00";"19.00";"0.00";;;"0.00";"19 +/- spaces";;"0.00";;;"0";"Block: 470.02, Lot:,19";;;"0.00";"1"
"83";"830";"DEFAULT UNIT";"7000.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"5.00";"9.00";"0.00";;"Former Advance Space Auto";"0.00";"30 spaces";;"0.00";;;"0";"Block: 5.04, Lot:,9.01";"Immediate";;"0.00";"1"
"84";"831";"DEFAULT UNIT";"5600.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"2304.00";"2.00";"0.00";;;"0.00";"175 spaces";;"0.00";;;"0";"Block: 2304, Lot:,2";;;"0.00";"1"
"85";"832";"DEFAULT UNIT";"2200.00";"0.00";"inclusive";"17.00";"sqft";;;;"0.00";"sqft";;;"78.00";"15.00";"0.00";;;"0.00";"25 spaces";;"0.00";;;"0";"Block: 78, Lot:,15.01";"Immediate";;"0.00";"1"
"86";"833";"DEFAULT UNIT";"6400.00";"0.00";"inclusive";"18.00";"sqft";;;"nnn";"0.00";"sqft";;;"137.00";"6.00";"0.00";;"Plus full basement";"0.00";"75 spaces";;"0.00";;;"0";"Block: 137, Lot:,6, 7 and 10";"Immediate";;"0.00";"1"
"87";"768";"DEFAULT UNIT";"3000";"895000.00";"inclusive";"0.00";"sqft";;;"nnn";"0.00";"sqft";;;"1503.00";"4.00";"0.00";;;"0.00";"6:1000";;"0.00";;;"0";"Block: 1503.00, Lot:,4.00";;;"0.00";"1"
"89";"770";"DEFAULT UNIT";"8000.00";"1400000.00";"inclusive";"16.00";"sqft";;;"nnn";"0.00";"sqft";;"24468";"163.00";"5.00";"0.00";;;"0.00";"58 +/- spaces";;"0.00";;;"0";"Block: 163.01, Lot:,5";;;"0.00";"1"
"90";"835";"DEFAULT UNIT";"4300.00";"0.00";"inclusive";"10.00";"sqft";;;"nnn";"0.00";"sqft";;;"6208.00";"6.00";"0.00";;;"0.00";"40 spaces";;"0.00";;;"0";"Block: 6208, Lot:,6";;;"0.00";"1"
"91";"771";"DEFAULT UNIT";"5300.00";"530000.00";"inclusive";"0.00";"sqft";;;"condo";"3.00";"sqft";;"17146";"42.00";"12.00";"0.00";;;"0.00";"5:1000";;"0.00";;;"0";"Block: 42.00, Lot:,12.00";"Immediate";;"0.00";"1"
"92";"772";"DEFAULT UNIT";"5500.00";"625000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"83.00";"21.00";"0.00";;;"0.00";"6:1000";;"0.00";;;"0";"Block: 83.00, Lot:,21.00";"Immediate";;"0.00";"1"
"94";"773";"DEFAULT UNIT";"2425.00";"275000.00";"inclusive";"1200.00";"month";;;;"0.00";"sqft";;"7333.05";"130.00";"4.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 130, Lot:,4.05";"Immediate";;"0.00";"1"
